Espece	N_inventaire	"
Taille"	"
Couleur_Dominante"	Degre_de_couleur	Queue	Posture	Accessoires	Hauteur_yeux	Hauteur_tete	membres	hauteur_corps	propor_tete	longueur_museau	profondeur_t_te	taille_poils	Matiere	Truffe_nature	Truffe_couleur	Yeux_nature	Yeux_couleur	Oreilles	Mecanisme	Long_mbr_ant	Long_mbr_post
Nunursus_flagadus	UM-0013	20.5	6	2	1	4	0	0.5	5	1	9	0.55	2	4.5	1	2	2	1	2	2	2	0	6.5	6
Nunursus_calinus	UM-0032	31	2	2	0	5	1	0.7	6	1	25.5	0.24	0.6	5.5	1	2	2	5	2	4	2	0	6.5	0
Nunursus_vanilla	UM-0036	12.5	5	1	0	3	0	0.5	5.5	1	7	0.79	3.5	5	3	2	2	4	2	2	1	0	7	7
Nunursus_apicula	UM-0045	21	7	3	0	3	1	0.7	6.5	1	14	0.46	2.6	5.5	2	2	2	2	2	2	2	1	10	4.5
Nunursus_echarpus	UM-0056	14.5	6	2	0	3	1	0.9	6	1	10.5	0.57	4.5	4.5	3	2	2	1	1	2	1	0	10	12
Nunursus_winniursus	UM-0060	21	8	1	0	3	0	0.6	8.5	1	13.5	0.63	3.2	8.7	2	2	3	4	2	2	1	0	8.5	6.5
Nunursus_pimboli	UM-0062	12	5	2	1	1	1	0.5	4.5	1	4	1.13	2	4.5	2	2	3	2	1	2	2	0	4.5	4.5
Nunursus_articulus	UM-0066	20.5	6	2	0	1	1	1	7.5	1	10.5	0.71	0.6	5.5	3	2	3	4	1	2	1	0	8	9
Nunursus_horripilus	UM-0067	16	6	1	1	3	0	1	5.5	1	9	0.61	2.2	5.2	3	2	2	1	1	1	1	0	8.5	11
Nunursus_apicultis	UM-0079	15.5	7	1	0	3	1	0.7	6.5	1	10	0.65	2.8	4.7	1	2	2	4	2	2	1	0	5	6.5
Nunursus_magnusnazus	UM-0101	18.5	3	2	1	4	1	0.9	4.5	1	12	0.36	2.5	4.9	3	2	2	4	1	1	1	0	6.5	6.5
Nunursus_multicolorus	UM-0107	15.5	4	3	1	3	1	1.2	7	1	8.5	0.82	2.6	7	3	2	1	3	1	1	2	0	4	4.5
Nunursus_tintinabulum	UM-0108	11.5	4	2	1	2	1	0.5	5	1	8.5	0.59	2.2	4.5	1	2	2	2	2	2	2	1	1.5	1.5
Nunursus_albus	UM-0118	10.5	5	1	0	1	0	0.4	3.5	1	5	0.7	0.01	2.4	1	2	2	1	2	3	1	0	2	2.5
Nunursus_tristus	UM-0119	15.5	3	1	1	3	1	0.7	6.5	1	9.5	0.68	2.5	6	1	2	2	4	2	2	1	0	7.5	8.5
Nunursus_nodus	UM-0125	14.5	6	1	1	3	1	0.8	6.5	1	9	0.72	2.1	6	2	2	2	1	1	2	1	0	8.5	8.5
Nunursus_bananus	UM-0126	25	2	3	0	5	1	0.8	6.5	0	11.5	0.57	2.9	3.1	3	2	2	1	1	2	1	0	0	0
Nunursus_oceanus	UM-0127	11.5	2	2	0	3	1	0.8	5.5	1	6	0.92	2.4	4	1	2	2	4	1	2	2	0	4	5.5
Nunursus_bisounoursus	UM-0128	28.5	1	3	1	1	0	2.1	10.5	1	11	0.95	2.4	9	1	2	1	3	1	5	2	0	9	7.5
Rhinogradus_coulissus	UM-0129	41	6	3	1	4	0	2	7.5	1	12	0.63	5.2	4.8	3	2	2	1	1	6	1	0	8	7.5
Collectionus_ericpetitus_ceruleum	UM-0130	29	2	1	0	1	1	1.5	12	1	16	0.75	2	6.7	3	1	1	4	1	2	1	0	5	8
Collectionus_ericpetitus_frankensteinus	UM-0131	27	6	2	0	1	0	0.7	7.5	1	20	0.38	1.3	5.2	2	1	2	3	1	1	2	1	9.5	12.5
Collectionus_ericpetitus_rechus	UM-0132	29	6	2	0	1	0	0.7	8	1	20.5	0.39	2.6	6	3	1	2	4	1	1	1	1	10	12
Collectionus_ericpetitus_asymetricus	UM-0133	30.5	6	1	0	1	1	0.5	8	1	21	0.38	2.3	7.2	2	1	1	4	1	6	1	0	10.5	14
Collectionus_ericpetitus_melancholia	UM-0134	30	6	1	0	1	0	0.8	7.5	1	23	0.33	2.5	5.5	2	1	2	4	1	6	1	0	12.5	13.5
Collectionus_ericpetitus_bossus	UM-0135	19	5	2	0	3	0	0.5	6.5	1	13	0.5	3.3	5.5	3	1	2	1	1	6	1	0	13.5	12.5
Collectionus_ericpetitus_angora	UM-0136	45	6	2	0	1	0	1.8	14.5	1	15.5	0.95	2.5	8.6	3	1	1	4	1	7	1	0	12	16
